domain,tool
teamviewer.com,TeamViewer
anydesk.com,AnyDesk
screenconnect.com,ScreenConnect
connectwise.com,ConnectWise
splashtop.com,Splashtop
logmein.com,LogMeIn
gotoassist.com,GoToAssist
remotepc.com,RemotePC
n-able.com,N-able
atera.com,Atera
